method,checkpoint,task_name,seed,sparsity_target,sparsity_actual,recovery_epochs,accuracy,f1,acc_with_recovery,f1_with_recovery
pruning,bert-base-uncased,ag_news,42,0.0,0.0,0,0.9456578947368421,0.9456976168086222,,
pruning,bert-base-uncased,ag_news,42,0.01,0.009990226987410145,0,0.9457894736842105,0.9458264887436891,,
pruning,bert-base-uncased,ag_news,42,0.02,0.019980442294114886,0,0.9456578947368421,0.9456933915706184,,
pruning,bert-base-uncased,ag_news,42,0.03,0.02997066928152492,0,0.9455263157894737,0.9455621244335338,,
pruning,bert-base-uncased,ag_news,42,0.04,0.03996088458822966,0,0.9455263157894737,0.945565733355605,,
pruning,bert-base-uncased,ag_news,42,0.05,0.049951111575639806,0,0.9453947368421053,0.9454253338849394,,
pruning,bert-base-uncased,ag_news,42,0.06,0.05994132688234455,0,0.9448684210526316,0.9449077209703619,,
pruning,bert-base-uncased,ag_news,42,0.07,0.06993155386975458,0,0.9447368421052632,0.9447515420697253,,
pruning,bert-base-uncased,ag_news,42,0.08,0.07992176917645932,0,0.9447368421052632,0.9447583752446678,,
pruning,bert-base-uncased,ag_news,42,0.09,0.08991199616386947,0,0.9451315789473684,0.9451637464822944,,
pruning,bert-base-uncased,ag_news,42,0.1,0.09990221147057421,0,0.945,0.9450299157926401,,
pruning,bert-base-uncased,ag_news,42,0.11,0.10989243845798424,0,0.9444736842105264,0.9445091330924978,,
pruning,bert-base-uncased,ag_news,42,0.12,0.11988265376468898,0,0.9443421052631579,0.9443689381657203,,
pruning,bert-base-uncased,ag_news,42,0.13,0.12987288075209913,0,0.9444736842105264,0.9445056033985231,,
pruning,bert-base-uncased,ag_news,42,0.14,0.13986309605880387,0,0.9446052631578947,0.9446289336506882,,
pruning,bert-base-uncased,ag_news,42,0.15,0.14985332304621402,0,0.9448684210526316,0.9448785054539546,,
pruning,bert-base-uncased,ag_news,42,0.16,0.15984353835291865,0,0.9444736842105264,0.9444969890826618,,
pruning,bert-base-uncased,ag_news,42,0.17,0.1698337653403288,0,0.9448684210526316,0.9448888317094177,,
pruning,bert-base-uncased,ag_news,42,0.18,0.17982398064703353,0,0.9451315789473684,0.9451519031845659,,
pruning,bert-base-uncased,ag_news,42,0.19,0.18981420763444368,0,0.9453947368421053,0.9453971142685322,,
pruning,bert-base-uncased,ag_news,42,0.2,0.1998044229411483,0,0.9453947368421053,0.9453924346921632,,
pruning,bert-base-uncased,ag_news,42,0.21,0.20979464992855845,0,0.9444736842105264,0.9444569224309428,,
pruning,bert-base-uncased,ag_news,42,0.22,0.2197848652352632,0,0.9444736842105264,0.9444502976298214,,
pruning,bert-base-uncased,ag_news,42,0.23,0.22977509222267334,0,0.9443421052631579,0.9443391936724022,,
pruning,bert-base-uncased,ag_news,42,0.24,0.23976530752937808,0,0.9443421052631579,0.9443241638259448,,
pruning,bert-base-uncased,ag_news,42,0.25,0.2497555345167881,0,0.9455263157894737,0.9454868483686049,,
pruning,bert-base-uncased,ag_news,42,0.26,0.25974576150419826,0,0.9446052631578947,0.9445518552329246,,
